contact_external_id,campaign_name,campaign_channel,offer_type,target_region,touch_date,engagement_score
CRM-00000001,Spring Refresh,email,discount,East,2026-01-05,91
CRM-00000002,Spring Refresh,email,discount,East,2026-01-06,87
CRM-00000003,Spring Refresh,email,discount,East,2026-01-06,84
CRM-00000004,Spring Refresh,email,discount,East,2026-01-07,79
CRM-00000005,Spring Refresh,email,discount,East,2026-01-08,88
CRM-00000006,Spring Refresh,email,discount,East,2026-01-08,75
CRM-00000007,Spring Refresh,email,discount,East,2026-01-09,82
CRM-00000008,Spring Refresh,email,discount,East,2026-01-10,77
CRM-00000009,VIP Retention,sms,loyalty,West,2026-01-11,93
CRM-00000010,VIP Retention,sms,loyalty,West,2026-01-11,90
CRM-00000011,VIP Retention,sms,loyalty,West,2026-01-12,86
CRM-00000012,VIP Retention,sms,loyalty,West,2026-01-12,81
CRM-00000013,VIP Retention,sms,loyalty,West,2026-01-13,89
CRM-00000014,VIP Retention,sms,loyalty,West,2026-01-13,78
CRM-00000015,VIP Retention,sms,loyalty,West,2026-01-14,85
CRM-00000016,VIP Retention,sms,loyalty,West,2026-01-14,80
CRM-00000017,Summer Bundle,paid_social,bundle,South,2026-01-15,73
CRM-00000018,Summer Bundle,paid_social,bundle,South,2026-01-15,76
CRM-00000019,Summer Bundle,paid_social,bundle,South,2026-01-16,70
CRM-00000020,Summer Bundle,paid_social,bundle,South,2026-01-16,74
CRM-00000021,Summer Bundle,paid_social,bundle,South,2026-01-17,78
CRM-00000022,Summer Bundle,paid_social,bundle,South,2026-01-17,69
CRM-00000023,Summer Bundle,paid_social,bundle,South,2026-01-18,83
CRM-00000024,Summer Bundle,paid_social,bundle,South,2026-01-18,72
CRM-00000025,Reactivation Push,email,winback,Central,2026-01-19,66
CRM-00000026,Reactivation Push,email,winback,Central,2026-01-20,71
CRM-00000027,Reactivation Push,email,winback,Central,2026-01-20,64
CRM-00000028,Reactivation Push,email,winback,Central,2026-01-21,68
CRM-00000029,Reactivation Push,email,winback,Central,2026-01-21,73
CRM-00000030,Reactivation Push,email,winback,Central,2026-01-22,61
CRM-00000031,Reactivation Push,email,winback,Central,2026-01-22,75
CRM-00000032,Reactivation Push,email,winback,Central,2026-01-23,70
CRM-00000033,Premium Upgrade,webinar,upsell,Northeast,2026-01-24,88
CRM-00000034,Premium Upgrade,webinar,upsell,Northeast,2026-01-24,92
CRM-00000035,Premium Upgrade,webinar,upsell,Northeast,2026-01-25,85
CRM-00000036,Premium Upgrade,webinar,upsell,Northeast,2026-01-25,90
CRM-00000037,Premium Upgrade,webinar,upsell,Northeast,2026-01-26,83
CRM-00000038,Premium Upgrade,webinar,upsell,Northeast,2026-01-26,87
CRM-00000039,Premium Upgrade,webinar,upsell,Northeast,2026-01-27,94
CRM-00000040,Premium Upgrade,webinar,upsell,Northeast,2026-01-27,89
CRM-00000041,Store Launch,partner,local_event,Midwest,2026-01-28,72
CRM-00000042,Store Launch,partner,local_event,Midwest,2026-01-28,76
CRM-00000043,Store Launch,partner,local_event,Midwest,2026-01-29,74
CRM-00000044,Store Launch,partner,local_event,Midwest,2026-01-29,70
CRM-00000045,Store Launch,partner,local_event,Midwest,2026-01-30,79
CRM-00000046,Store Launch,partner,local_event,Midwest,2026-01-30,68
CRM-00000047,Store Launch,partner,local_event,Midwest,2026-01-31,82
CRM-00000048,Store Launch,partner,local_event,Midwest,2026-01-31,75
